Seed,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13,pick_14
1,14,13.4,12.7,12,47.9,,,,,,,,,
2,14,13.4,12.7,12,27.8,20,,,,,,,,
3,14,13.4,12.7,12,14.8,26,7,,,,,,,
4,12.5,12.2,11.9,11.5,7.2,25.7,16.7,2.2,,,,,,
5,10.5,10.5,10.6,10.5,2.2,19.6,26.7,8.7,0.6,,,,,
6,9,9.2,9.4,9.6,,8.6,29.8,20.5,3.7,0.1,,,,
7,7.5,7.8,8.1,8.5,,,19.7,34.1,12.9,1.3,>0.0,,,
8,6,6.3,6.7,7.2,,,,34.5,32.1,6.7,0.4,>0.0,,
9,4.5,4.8,5.2,5.7,,,,,50.7,25.9,3,0.1,>0.0,
10,3,3.3,3.6,4,,,,,,65.9,19,1.2,>0.0,>0.0
11,2,2.2,2.4,2.8,,,,,,,77.6,12.6,0.4,>0.0
12,1.5,1.7,1.9,2.1,,,,,,,,86.1,6.7,0.1
13,1,1.1,1.2,1.4,,,,,,,,,92.9,2.3
14,0.5,0.6,0.6,0.7,,,,,,,,,,97.6