City,Store,Store_ID,Category,Product_ID,Unit_Price,Quantity
Birmingahm,Birmingham,8,Groceries,GR1711,35.01,32
London,Richmond,3,Groceries,GR5380,5.13,31
Manchester,Chorlton,7,Groceries,GR9966,39.92,20
London,Stratford,4,Groceries,GR1840,41.32,42
London,Stratford,4,Groceries,GR5052,31.65,44
Birmingahm,Birmingham,8,Groceries,GR0090,23.93,33
London,Wembley,2,Groceries,GR7153,25.75,4
Manchester,Chorlton,7,Groceries,GR9793,6.52,28
Nottingham,Nottingham,9,Groceries,GR2418,45.23,28
London,Richmond,3,Groceries,GR6752,42.27,16
Manchester,Chorlton,7,Groceries,GR0745,21.95,28
London,Wembley,2,Groceries,GR0572,29.86,44
Birmingahm,Birmingham,8,Groceries,GR6867,36.76,26
London,Stratford,4,Groceries,GR8182,16.19,4
Nottingham,Nottingham,9,Groceries,GR5291,38.27,5
London,Stratford,4,Groceries,GR2519,15.24,41
London,Stratford,4,Groceries,GR6632,43.44,37
Manchester,Salford,6,Groceries,GR1732,49.45,25
Manchester,Trafford,5,Groceries,GR4947,20.17,45
London,Stratford,4,Groceries,GR6373,4.31,2
London,Oxford Street,1,Groceries,GR1969,14.45,5
Leeds,Leeds,10,Groceries,GR6265,4.79,5
Birmingahm,Birmingham,8,Groceries,GR2638,7.41,5
Leeds,Leeds,10,Groceries,GR4314,24.96,12
London,Stratford,4,Groceries,GR4258,15.19,15
London,Oxford Street,1,Groceries,GR3422,12.25,43
London,Richmond,3,Groceries,GR9266,23.36,27
Birmingahm,Birmingham,8,Groceries,GR5040,21.54,30
London,Oxford Street,1,Groceries,GR0910,49.4,13
Nottingham,Nottingham,9,Groceries,GR0311,20.56,37
London,Oxford Street,1,Groceries,GR6076,47.35,12
Manchester,Salford,6,Groceries,GR8734,43.3,49
Manchester,Salford,7,Groceries,GR0294,11.77,21
London,Oxford Street,1,Groceries,GR1705,47.16,3
Birmingahm,Birmingham,1,Groceries,GR1705,47.16,3
Birmingahm,Birmingham,1,Groceries,GR1705,47.16,37
Leeds,Leeds,10,Groceries,GR1705,47.16,37
Manchester,Trafford,7,Groceries,GR0294,11.77,21
London,Wembley,2,Groceries,GR0294,11.77,19
London,Oxford Street,1,Groceries,GR1705,47.16,28
Manchester,Trafford,5,Groceries,GR1705,47.16,12
London,Richmond,3,Groceries,GR5226,13.98,14
Manchester,Chorlton,7,Groceries,GR7563,43.15,8
Manchester,Chorlton,7,Groceries,GR4877,32.57,21
Manchester,Chorlton,7,Groceries,GR6107,39.09,50
London,Wembley,2,Groceries,GR2451,18.74,46
Manchester,Chorlton,7,Groceries,GR5405,25.33,17
Leeds,Leeds,10,Groceries,GR3546,35.72,14
London,Oxford Street,1,Groceries,GR4264,45.14,28
Manchester,Trafford,5,Groceries,GR1002,43.24,27
London,Wembley,2,Groceries,GR3592,10.38,39
Birmingahm,Birmingham,8,Groceries,GR6898,7.72,34
London,Wembley,2,Groceries,GR4894,31.95,2
Birmingahm,Birmingham,8,Groceries,GR7882,17.58,8
London,Richmond,3,Groceries,GR7350,36.32,14
Manchester,Trafford,5,Groceries,GR2037,9.44,9
Manchester,Chorlton,7,Groceries,GR8486,44.67,25
Leeds,Leeds,10,Groceries,GR7415,21.42,12
Leeds,Leeds,10,Groceries,GR5826,27.7,25
London,Stratford,4,Groceries,GR8988,31.58,19
Birmingahm,Birmingham,8,Groceries,GR5532,23.73,21
Manchester,Chorlton,7,Groceries,GR8158,13.35,48
Birmingahm,Birmingham,8,Groceries,GR1253,48.98,49
London,Oxford Street,1,Groceries,GR8453,13.64,47
London,Stratford,4,Groceries,GR9418,28.08,17
London,Wembley,2,Groceries,GR0307,25.46,17
Birmingahm,Birmingham,8,Groceries,GR3506,14.35,34
Birmingahm,Birmingham,8,Groceries,GR0702,2.22,11
London,Oxford Street,1,Groceries,GR1489,29.27,7
Manchester,Salford,6,Groceries,GR7783,12.8,8
Leeds,Leeds,10,Groceries,GR3901,40.48,28
Manchester,Chorlton,7,Groceries,GR6598,18.56,1
Leeds,Leeds,10,Groceries,GR6067,32.72,3
Nottingham,Nottingham,9,Groceries,GR7803,26.52,11
Leeds,Leeds,10,Groceries,GR5550,36.43,1
London,Oxford Street,1,Groceries,GR7916,6.23,36
London,Stratford,4,Groceries,GR6074,19.42,37
Nottingham,Nottingham,9,Groceries,GR5322,19.88,3
Nottingham,Nottingham,9,Groceries,GR2952,33.58,30
Manchester,Chorlton,7,Groceries,GR8895,17.16,3
Nottingham,Nottingham,9,Groceries,GR7019,45.1,40
Manchester,Salford,6,Groceries,GR8588,23.34,5
London,Stratford,4,Groceries,GR9939,49.61,13
Nottingham,Nottingham,9,Groceries,GR3579,42.77,20
Manchester,Trafford,5,Groceries,GR5664,49.48,24
Manchester,Salford,6,Groceries,GR6290,37.29,43
London,Wembley,2,Groceries,GR0838,3.11,47
Manchester,Salford,6,Groceries,GR3300,33.64,8
Birmingahm,Birmingham,8,Groceries,GR8985,21.06,22
Manchester,Trafford,5,Groceries,GR9332,1.92,5
Manchester,Salford,6,Groceries,GR5852,33.45,20
London,Wembley,2,Groceries,GR3889,6.57,16
Nottingham,Nottingham,9,Groceries,GR7122,20.72,26
London,Wembley,2,Groceries,GR1543,21.67,31
London,Stratford,4,Groceries,GR0165,18.53,40
London,Oxford Street,1,Groceries,GR4822,26.76,40
Birmingahm,Birmingham,8,Groceries,GR7226,41.38,47
London,Stratford,4,Groceries,GR2661,42.98,28
Nottingham,Nottingham,9,Groceries,GR5914,16.56,27
London,Oxford Street,1,Groceries,GR2339,46.98,27
Manchester,Trafford,5,Groceries,GR1746,36.1,25
Manchester,Salford,6,Groceries,GR9573,41.09,33
Nottingham,Nottingham,9,Groceries,GR4886,35.69,20
London,Wembley,2,Groceries,GR6969,26.74,23
Manchester,Trafford,5,Groceries,GR9355,16.1,20
Leeds,Leeds,10,Groceries,GR1276,49.56,19
Manchester,Trafford,5,Groceries,GR9142,13.52,32
Manchester,Salford,6,Groceries,GR9169,36,41
Manchester,Salford,6,Groceries,GR7643,11.2,5
London,Stratford,4,Groceries,GR2369,19.58,12
London,Richmond,3,Groceries,GR9203,16.59,11
Manchester,Trafford,5,Groceries,GR3193,40.62,45
Manchester,Salford,6,Groceries,GR4091,32.41,3
London,Wembley,2,Groceries,GR9601,32.36,18
Manchester,Chorlton,7,Groceries,GR5927,41.23,14
Leeds,Leeds,10,Groceries,GR3038,26.71,7
London,Oxford Street,1,Groceries,GR2757,24.14,14
Manchester,Salford,6,Groceries,GR0339,42.27,9
Nottingham,Nottingham,9,Groceries,GR1862,16.93,13
Nottingham,Nottingham,9,Groceries,GR0041,9.39,40
London,Wembley,2,Groceries,GR5786,35.61,50
London,Wembley,2,Groceries,GR3323,12.16,39
London,Stratford,4,Groceries,GR6242,16.98,17
Manchester,Trafford,5,Groceries,GR6930,24.54,9
London,Richmond,3,Groceries,GR8989,19.24,26
Manchester,Trafford,5,Groceries,GR9046,15.42,29
Leeds,Leeds,10,Groceries,GR7913,43.78,32
London,Wembley,2,Groceries,GR1383,33.07,34
London,Wembley,2,Groceries,GR7799,34.7,19
London,Richmond,3,Groceries,GR3416,43.84,15
Manchester,Chorlton,7,Groceries,GR9424,26.52,23
London,Stratford,4,Groceries,GR5768,8.16,45
London,Richmond,3,Groceries,GR8363,49.06,49
London,Stratford,4,Groceries,GR6004,1.97,2
London,Oxford Street,1,Groceries,GR5934,48.21,47
Leeds,Leeds,10,Groceries,GR2484,13.86,28
Manchester,Trafford,5,Groceries,GR3299,39.71,40
Nottingham,Nottingham,9,Groceries,GR2048,25.8,9
London,Oxford Street,1,Groceries,GR8430,23.14,25
Birmingahm,Birmingham,8,Groceries,GR5606,11.7,35
London,Stratford,4,Groceries,GR9909,43.55,36
Leeds,Leeds,10,Groceries,GR2856,46.6,39
London,Wembley,2,Groceries,GR9908,27.37,25
Manchester,Trafford,5,Groceries,GR2405,25.1,36
Manchester,Salford,6,Groceries,GR6567,29.77,7
London,Wembley,2,Groceries,GR4924,16.99,19
Manchester,Trafford,5,Groceries,GR8884,24.94,1
Nottingham,Nottingham,9,Groceries,GR5082,42.27,33
Manchester,Trafford,5,Groceries,GR3723,32.77,21
Manchester,Trafford,5,Groceries,GR3802,2.58,39
Manchester,Salford,6,Groceries,GR6117,7.07,7
Manchester,Salford,6,Groceries,GR5419,48.93,44
Manchester,Trafford,5,Groceries,GR6476,38.03,35
Manchester,Chorlton,7,Groceries,GR9447,6.89,17
London,Stratford,4,Groceries,GR2345,36.93,13
Leeds,Leeds,10,Groceries,GR3326,6.26,22
Manchester,Trafford,5,Groceries,GR4359,10.31,18
Manchester,Chorlton,7,Groceries,GR2131,19.21,4
Leeds,Leeds,10,Groceries,GR7617,26.86,11
Manchester,Salford,6,Groceries,GR0974,41.06,21
Manchester,Trafford,5,Groceries,GR3115,3.21,15
Leeds,Leeds,10,Groceries,GR2944,32.38,50
Leeds,Leeds,10,Groceries,GR0238,12.68,44
Leeds,Leeds,10,Groceries,GR6070,28.23,27
Manchester,Trafford,5,Groceries,GR5436,37.26,23
Leeds,Leeds,10,Groceries,GR2429,44.22,28
Manchester,Chorlton,7,Groceries,GR4809,2.48,8
London,Wembley,2,Groceries,GR9086,28.2,14
London,Richmond,3,Groceries,GR7001,1.3,7
Birmingahm,Birmingham,8,Groceries,GR1657,18.6,48
Manchester,Trafford,5,Groceries,GR6844,40.52,7
Nottingham,Nottingham,9,Groceries,GR3345,30.65,5
London,Oxford Street,1,Groceries,GR8290,1.67,48
London,Richmond,3,Groceries,GR5174,27.81,29
Manchester,Salford,6,Groceries,GR2914,16.99,4
Nottingham,Nottingham,9,Groceries,GR4312,30.36,19
London,Wembley,2,Groceries,GR3126,19.69,8
Manchester,Chorlton,7,Groceries,GR5748,35.21,32
London,Richmond,3,Groceries,GR3213,34.2,30
Nottingham,Nottingham,9,Groceries,GR7311,48.15,11
London,Oxford Street,1,Groceries,GR0856,2.37,43
London,Oxford Street,1,Groceries,GR5422,9.2,2
Nottingham,Nottingham,9,Groceries,GR1080,46.84,32
Manchester,Chorlton,7,Groceries,GR8824,49.18,8
Manchester,Chorlton,7,Groceries,GR4975,25.85,29
London,Wembley,2,Groceries,GR6908,31.77,10
Nottingham,Nottingham,9,Groceries,GR8341,10.82,7
Manchester,Chorlton,7,Groceries,GR9932,41.51,15
Birmingahm,Birmingham,8,Groceries,GR2360,7.63,28
London,Wembley,2,Groceries,GR0666,5.58,46
London,Oxford Street,1,Groceries,GR5485,42.87,1
London,Wembley,2,Groceries,GR4122,47.51,17
Birmingahm,Birmingham,8,Groceries,GR4296,34.09,37
Nottingham,Nottingham,9,Groceries,GR0529,8.69,6
Manchester,Trafford,5,Groceries,GR9687,9.51,50
London,Oxford Street,1,Groceries,GR2323,30.46,30
Manchester,Chorlton,7,Groceries,GR9612,14.3,36
Birmingahm,Birmingham,8,Groceries,GR9669,4.34,41
London,Oxford Street,1,Groceries,GR7624,33.97,12
London,Wembley,2,Groceries,GR7762,34.43,11
Manchester,Chorlton,7,Groceries,GR8147,37.03,18
London,Wembley,2,Groceries,GR3854,16.74,7
Manchester,Trafford,5,Groceries,GR6581,14.85,3
Leeds,Leeds,10,Groceries,GR1278,26.05,46
London,Oxford Street,1,Groceries,GR3482,39.39,24
Birmingahm,Birmingham,8,Groceries,GR8416,23.89,6
London,Oxford Street,1,Groceries,GR8367,45.11,24
Manchester,Chorlton,7,Groceries,GR2417,8.9,25
London,Wembley,2,Groceries,GR5227,16.18,19
London,Stratford,4,Groceries,GR7186,31.4,34
Manchester,Trafford,5,Groceries,GR3251,20.15,49
London,Richmond,3,Groceries,GR3012,20.27,33
London,Oxford Street,1,Groceries,GR2261,38.2,50
Leeds,Leeds,10,Groceries,GR1565,4.71,30
Manchester,Salford,6,Groceries,GR5222,8.34,5
Nottingham,Nottingham,9,Groceries,GR1805,1.27,28
Manchester,Trafford,5,Groceries,GR7718,17.12,4
London,Oxford Street,1,Groceries,GR1124,44.48,45
London,Oxford Street,1,Groceries,GR0663,4.74,40
London,Oxford Street,1,Groceries,GR6243,38.9,44
Manchester,Chorlton,7,Groceries,GR0462,26.69,39
London,Stratford,4,Groceries,GR7594,35.78,7
Leeds,Leeds,10,Groceries,GR7679,40.06,43
London,Wembley,2,Groceries,GR4729,24.57,48
Manchester,Trafford,5,Groceries,GR4717,26.65,19
London,Wembley,2,Groceries,GR0609,40.24,13
London,Oxford Street,1,Groceries,GR4987,18.21,21
Nottingham,Nottingham,9,Groceries,GR1111,1.76,5
Birmingahm,Birmingham,8,Groceries,GR0294,11.77,14
Manchester,Chorlton,7,Groceries,GR1705,47.16,31
Leeds,Leeds,10,Groceries,GR9265,24.64,21
London,Oxford Street,1,Groceries,GR0135,36.24,48
Nottingham,Nottingham,9,Groceries,GR1368,28.03,15
London,Wembley,2,Groceries,GR8984,17.6,7
Manchester,Trafford,5,Groceries,GR2134,21.03,1
Leeds,Leeds,10,Groceries,GR7457,2.49,38
Leeds,Leeds,10,Groceries,GR1464,28.21,25
Manchester,Chorlton,7,Groceries,GR0353,45.09,39
Manchester,Chorlton,7,Groceries,GR7769,6.94,25
Manchester,Chorlton,7,Groceries,GR8873,44.92,7
Manchester,Salford,6,Groceries,GR1204,22.96,22
Manchester,Trafford,5,Groceries,GR9190,28.83,7
London,Stratford,4,Groceries,GR3888,43.45,45
Leeds,Leeds,10,Groceries,GR5071,33.7,50
Manchester,Trafford,5,Groceries,GR5148,30.48,19
London,Wembley,2,Groceries,GR4129,27.55,36
Birmingahm,Birmingham,8,Groceries,GR9614,29.4,11
Manchester,Salford,6,Groceries,GR3705,17.19,4
Manchester,Chorlton,7,Groceries,GR1380,33.35,18
Manchester,Trafford,5,Groceries,GR7451,5.45,11
Leeds,Leeds,10,Groceries,GR8774,28.83,32
London,Stratford,4,Groceries,GR3223,14.66,45
London,Oxford Street,1,Groceries,GR1834,13.98,15
London,Richmond,3,Groceries,GR7531,14.84,22
Manchester,Chorlton,7,Groceries,GR5122,1.9,18
London,Oxford Street,1,Groceries,GR2267,24.77,22
Leeds,Leeds,10,Groceries,GR5418,41.62,43
London,Richmond,3,Groceries,GR9904,4.69,8
London,Richmond,3,Groceries,GR0517,19.83,7
Birmingahm,Birmingham,8,Home,HO5328,41.77,31
Manchester,Salford,6,Home,HO4958,37.18,37
Manchester,Salford,6,Home,HO6178,36.05,29
London,Stratford,4,Home,HO2008,4.58,8
Nottingham,Nottingham,9,Home,HO3538,48.49,48
Birmingahm,Birmingham,8,Home,HO2488,4.37,41
Birmingahm,Birmingham,8,Home,HO1925,20.36,24
London,Wembley,2,Home,HO5083,23.42,45
London,Wembley,2,Home,HO2743,43.54,3
London,Stratford,4,Home,HO5327,43.08,2
Manchester,Trafford,5,Home,HO6386,14.61,1
London,Wembley,2,Home,HO0248,18.07,49
London,Stratford,4,Home,HO3701,49.7,4
Manchester,Trafford,5,Home,HO2236,39.91,38
Manchester,Chorlton,7,Home,HO7772,16,26
London,Richmond,3,Home,HO1570,11.88,29
Birmingahm,Birmingham,8,Home,HO0678,28.44,8
London,Stratford,4,Home,HO3396,6.8,50
London,Richmond,3,Home,HO2694,46.6,16
London,Stratford,4,Home,HO3752,12.23,50
Manchester,Trafford,5,Home,HO8441,33.33,7
Nottingham,Nottingham,9,Home,HO5395,44.16,15
London,Wembley,2,Home,HO1885,13.84,5
London,Wembley,2,Home,HO5815,48.44,10
London,Oxford Street,1,Home,HO8824,38.84,44
Birmingahm,Birmingham,8,Home,HO1363,47.98,2
Manchester,Chorlton,7,Home,HO4499,24.83,7
Manchester,Trafford,5,Home,HO4076,45.44,45
London,Oxford Street,1,Home,HO0492,10.03,38
London,Richmond,3,Home,HO9786,7.61,46
Nottingham,Nottingham,9,Home,HO5528,17.14,25
London,Richmond,3,Home,HO7552,37.15,25
Birmingahm,Birmingham,8,Home,HO6767,38.85,17
Manchester,Salford,6,Home,HO4412,20.2,14
Manchester,Chorlton,7,Home,HO2568,37.83,17
Manchester,Trafford,5,Home,HO0154,43.63,35
London,Stratford,4,Home,HO0526,31.1,5
Manchester,Trafford,5,Home,HO2863,12.96,5
Nottingham,Nottingham,9,Home,HO6732,3.96,33
Birmingahm,Birmingham,8,Home,HO6759,3.21,39
Leeds,Leeds,10,Home,HO3409,1.35,6
London,Richmond,3,Home,HO2912,15.87,18
Birmingahm,Birmingham,8,Home,HO4659,37.13,14
Leeds,Leeds,10,Home,HO1287,17.01,1
Manchester,Salford,6,Home,HO3455,21.57,29
Manchester,Chorlton,7,Home,HO1386,9.81,6
Manchester,Chorlton,7,Home,HO4915,31.03,45
Manchester,Salford,6,Home,HO8671,26.35,42
Manchester,Chorlton,7,Home,HO7575,43.84,3
London,Wembley,2,Home,HO4108,24.5,6
Leeds,Leeds,10,Home,HO9471,39.01,35
Leeds,Leeds,10,Home,HO3946,39.82,40
London,Wembley,2,Home,HO4338,12.68,14
Manchester,Chorlton,7,Home,HO1109,31.69,17
Nottingham,Nottingham,9,Home,HO2405,41.21,6
London,Richmond,3,Home,HO8789,28.94,43
London,Richmond,3,Home,HO6934,21.42,26
Birmingahm,Birmingham,8,Home,HO4249,34.89,49
Leeds,Leeds,10,Home,HO6529,28.8,34
London,Oxford Street,1,Home,HO6115,16.2,20
London,Stratford,4,Home,HO5731,7.96,12
London,Richmond,3,Home,HO8483,48.43,28
Nottingham,Nottingham,9,Home,HO2591,6.19,2
London,Stratford,4,Home,HO2794,39.11,50
London,Richmond,3,Home,HO9042,5.97,4
London,Oxford Street,1,Home,HO4001,39.46,49
London,Richmond,3,Home,HO7267,20.64,28
London,Richmond,3,Home,HO4439,34.65,4
London,Richmond,3,Home,HO4382,45.44,44
Nottingham,Nottingham,9,Home,HO1716,35.37,15
London,Richmond,3,Home,HO8556,6.46,49
London,Richmond,3,Home,HO3136,24.34,24
London,Oxford Street,1,Home,HO9759,17.89,9
Manchester,Chorlton,7,Home,HO6745,36.2,35
London,Richmond,3,Home,HO6886,18.95,6
Manchester,Trafford,5,Home,HO3552,36.94,36
Nottingham,Nottingham,9,Home,HO9259,44.64,33
Manchester,Salford,6,Home,HO1696,32.38,13
Leeds,Leeds,10,Home,HO7477,31.3,14
Manchester,Trafford,5,Home,HO5075,4.58,49
London,Richmond,3,Home,HO5722,24.45,22
London,Oxford Street,1,Home,HO9420,28.99,41
Nottingham,Nottingham,9,Home,HO9736,46.54,40
London,Oxford Street,1,Home,HO6605,23.25,32
London,Oxford Street,1,Home,HO5689,16.7,37
Nottingham,Nottingham,9,Home,HO3676,44.52,50
London,Wembley,2,Home,HO5960,27.42,1
Nottingham,Nottingham,9,Home,HO3554,40.1,44
Nottingham,Nottingham,9,Home,HO5751,26.97,3
Birmingahm,Birmingham,8,Home,HO2815,33.32,11
Manchester,Chorlton,7,Home,HO1915,29.62,5
Nottingham,Nottingham,9,Home,HO1993,38.66,40
London,Wembley,2,Home,HO6471,44.11,31
Manchester,Chorlton,7,Home,HO8671,1.12,10
Leeds,Leeds,10,Home,HO5606,28.29,30
London,Stratford,4,Home,HO8627,18.43,11
Birmingahm,Birmingham,8,Home,HO3701,5.82,32
Manchester,Trafford,5,Home,HO5776,9.95,43
Birmingahm,Birmingham,8,Home,HO5766,20.56,50
London,Stratford,4,Home,HO3360,31.93,2
Leeds,Leeds,10,Home,HO7385,48.65,21
Manchester,Salford,6,Home,HO3129,47,7
London,Richmond,3,Home,HO0394,49.92,30
Manchester,Trafford,5,Home,HO3762,28.66,26
Leeds,Leeds,10,Home,HO6573,4.39,22
London,Stratford,4,Home,HO0160,11.78,6
Manchester,Trafford,5,Home,HO4292,14.5,34
Manchester,Chorlton,7,Home,HO6637,34.8,37
London,Wembley,2,Home,HO2459,11.87,44
Manchester,Trafford,5,Home,HO8968,18.42,3
Leeds,Leeds,10,Home,HO5262,15.26,46
Birmingahm,Birmingham,8,Home,HO7283,31.64,39
Manchester,Trafford,5,Home,HO4539,5.52,7
London,Stratford,4,Home,HO5006,42.74,42
London,Oxford Street,1,Home,HO1397,19.42,11
Manchester,Salford,6,Home,HO7156,31.31,41
London,Stratford,4,Home,HO5171,45.53,4
Nottingham,Nottingham,9,Home,HO9342,34.49,10
London,Richmond,3,Home,HO6961,13.68,11
Birmingahm,Birmingham,8,Home,HO6163,7.24,11
Leeds,Leeds,10,Home,HO9098,32.23,19
London,Oxford Street,1,Home,HO6373,44.2,32
Manchester,Chorlton,7,Home,HO9672,37.17,13
Manchester,Trafford,5,Home,HO3021,24.35,33
London,Wembley,2,Home,HO2260,5.05,19
Nottingham,Nottingham,9,Home,HO1224,2.01,44
Birmingahm,Birmingham,8,Home,HO1136,36.27,46
Nottingham,Nottingham,9,Home,HO8253,19.79,31
London,Oxford Street,1,Home,HO2193,40.94,12
Leeds,Leeds,10,Home,HO0574,24.19,1
Birmingahm,Birmingham,8,Home,HO7020,33.31,5
Manchester,Trafford,5,Home,HO4868,8.58,23
Birmingahm,Birmingham,8,Home,HO1387,13.75,25
Manchester,Trafford,5,Home,HO3248,45.18,9
Nottingham,Nottingham,9,Home,HO7240,17.94,42
Manchester,Trafford,5,Home,HO6897,4.63,24
Leeds,Leeds,10,Home,HO3998,32.77,29
Manchester,Salford,6,Home,HO9931,35.36,18
Nottingham,Nottingham,9,Home,HO3232,35.72,13
London,Stratford,4,Home,HO6845,25.31,17
London,Oxford Street,1,Home,HO3023,6.09,49
Leeds,Leeds,10,Home,HO8189,25.56,7
London,Stratford,4,Home,HO6449,14.46,34
Nottingham,Nottingham,9,Home,HO2790,40.4,33
London,Richmond,3,Home,HO6772,1.98,41
Manchester,Salford,6,Home,HO5195,26.86,35
Leeds,Leeds,10,Home,HO5222,48.01,22
London,Oxford Street,1,Home,HO8557,23.17,19
Manchester,Trafford,5,Home,HO1341,40.52,39
Manchester,Chorlton,7,Home,HO6567,8.11,47
Manchester,Chorlton,7,Home,HO2459,11.87,11
Nottingham,Nottingham,9,Home,HO2459,11.87,41
Manchester,Trafford,5,Home,HO6163,7.24,25
London,Wembley,2,Home,HO7345,46.69,50
Manchester,Trafford,5,Home,HO6445,9.89,41
London,Richmond,3,Home,HO9874,18.89,12
London,Wembley,2,Home,HO8725,46.9,10
Manchester,Trafford,5,Home,HO3407,43.66,1
London,Richmond,3,Home,HO9089,11.22,42
Manchester,Trafford,5,Home,HO4424,8.19,10
Birmingahm,Birmingham,8,Home,HO0448,25.69,3
London,Richmond,3,Home,HO6228,35.71,18
Leeds,Leeds,10,Home,HO4136,35.84,27
