year,men,women
1879,"Robert Erskine, Herbert Lawford",
1880,"Willie Renshaw, Ernest Renshaw",
1881,"Willie Renshaw, Ernest Renshaw",
1882,"John Hartley, R.T. Richardson",
1883,"C.W. Grinstead, C.E. Welldon",
1884,"Willie Renshaw, Ernest Renshaw",
1885,"Willie Renshaw, Ernest Renshaw",
1886,"Willie Renshaw, Ernest Renshaw",
1887,"Herbert Wilberforce, Patrick Bowes-Lyon",
1888,"Willie Renshaw, Ernest Renshaw",
1889,"Willie Renshaw, Ernest Renshaw",
1890,"Joshua Pim, Frank Stoker",
1891,"Wilifred Baddeley, Herbert Baddeley",
1892,"Ernest Lewis, Harry Barlow",
1893,"Joshua Pim, Frank Stoker",
1894,"Wilifred Baddeley, Herbert Baddeley",
1895,"Wilifred Baddeley, Herbert Baddeley",
1896,"Wilifred Baddeley, Herbert Baddeley",
1897,"Reggie Doherty, Laurie Doherty",
1898,"Reggie Doherty, Laurie Doherty",
1899,"Reggie Doherty, Laurie Doherty",
1900,"Reggie Doherty, Laurie Doherty",
1901,"Reggie Doherty, Laurie Doherty",
1902,"Sidney Smith, Frank Riseley",
1903,"Reggie Doherty, Laurie Doherty",
1904,"Reggie Doherty, Laurie Doherty",
1905,"Reggie Doherty, Laurie Doherty",
1906,"Sidney Smith, Frank Riseley",
1907,"Norman Brookes, Tony Wilding",
1908,"Tony Wilding, Josiah Ritchie",
1909,"Arthur Gore, Herbert Roper Barrett",
1910,"Tony Wilding, Josiah Ritchie",
1911,"Ándre Gobert, Max Decugis",
1912,"Herbert Roper Barrett, Charles Dixon",
1913,"Herbert Roper Barrett, Charles Dixon","Winifred McNair, Dora Boothby"
1914,"Norman Brookes, Tony Wilding","Elizabeth Ryan, Agnes Morton"
1915–181,not held,
1919,"Ronald Thomas, Pat O'Hara Wood","Suzanne Lenglen, Elizabeth Ryan"
1920,"Dick Williams, Chuck Garland","Suzanne Lenglen, Elizabeth Ryan"
1921,"Randolph Lycett, Max Woosnam","Suzanne Lenglen, Elizabeth Ryan"
1922,"James Anderson, Randolph Lycett","Suzanne Lenglen, Elizabeth Ryan"
1923,"Leslie Godfree, Randolph Lycett","Suzanne Lenglen, Elizabeth Ryan"
1924,"Frank Hunter, Vinnie Richards","Hazel Wightman, Helen Wills"
1925,"Jean Borotra, Rene Lacoste","Suzanne Lenglen, Elizabeth Ryan"
1926,"Jacques Brugnon, Henri Cochet","Mary Browne, Elizabeth Ryan"
1927,"Frank Hunter, Bill Tilden","Helen Wills, Elizabeth Ryan"
1928,"Jacques Brugnon, Henri Cochet","Peggy Saunders, Phoebe Watson"
1929,"Wilmer Allison, John Van Ryn","Peggy Saunders, Phoebe Watson"
1930,"Wilmer Allison, John Van Ryn","Helen Wills Moody, Elizabeth Ryan"
1931,"George Lott, John Van Ryn","Phyllis Mudford, Dorothy Barron"
1932,"Jean Borotra, Jacques Brugnon","Doris Metaxa, Josanne Sigart"
1933,"Jean Borotra, Jacques Brugnon","Elizabeth Ryan, Simone Mathieu"
1934,"George Lott, Lester Stoefen","Elizabeth Ryan, Simone Mathieu"
1935,"Jack Crawford, Adrian Quist","Freda James, Kay Stammers"
1936,"Pat Hughes, Charles Tuckey","Freda James, Kay Stammers"
1937,"Don Budge, Gene Mako","Simone Mathieu, Billie Yorke"
1938,"Don Budge, Gene Mako","Sarah Palfrey Fabyan, Alice Marble"
1939,"Elwood Cooke, Bobby Riggs","Sarah Palfrey Fabyan, Alice Marble"
1940–452,not held,
1946,"Tom Brown, Jack Kramer","Louise Brough, Margaret Osborne"
1947,"Bob Falkenburg, Jack Kramer","Pat Todd, Doris Hart"
1948,"John Bromwich, Frank Sedgman","Louise Brough, Margaret Osborne duPont"
1949,"Pancho Gonzales, Frank Parker","Louise Brough, Margaret Osborne duPont"
1950,"John Bromwich, Adrian Quist","Louise Brough, Margaret Osborne duPont"
1951,"Ken McGregor, Frank Sedgman","Doris Hart, Shirley Fry"
1952,"Ken McGregor, Frank Sedgman","Doris Hart, Shirley Fry"
1953,"Lew Hoad, Ken Rosewall","Doris Hart, Shirley Fry"
1954,"Rex Hartwig, Mervyn Rose","Louise Brough, Margaret Osborne duPont"
1955,"Rex Hartwig, Lew Hoad","Angela Mortimer, Anne Shilcock"
1956,"Lew Hoad, Ken Rosewall","Angela Buxton, Althea Gibson"
1957,"Budge Patty, Gardnar Mulloy","Althea Gibson, Darlene Hard"
1958,"Sven Davidson, Ulf Schmidt","Maria Bueno, Althea Gibson"
1959,"Roy Emerson, Neale Fraser","Jeane Arth, Darlene Hard"
1960,"Rafael Osuna, Dennis Ralston","Maria Bueno, Darlene Hard"
1961,"Roy Emerson, Neale Fraser","Karen Hantze, Billie Jean Moffitt"
1962,"Bob Hewitt, Fred Stolle","Billie Jean Moffitt, Karen Hantze Susman"
1963,"Rafael Osuna, Antonio Palafox","Maria Bueno, Darlene Hard"
1964,"Bob Hewitt, Fred Stolle","Margaret Smith, Lesley Turner"
1965,"John Newcombe, Tony Roche","Maria Bueno, Billie Jean Moffitt"
1966,"Ken Fletcher, John Newcombe","Maria Bueno, Nancy Richey"
1967,"Bob Hewitt, Frew McMillan","Rosie Casals, Billie Jean Moffitt King"
1968,"John Newcombe, Tony Roche","Rosie Casals, Billie Jean King"
1969,"John Newcombe, Tony Roche","Margaret Smith Court, Judy Tegart"
1970,"John Newcombe, Tony Roche","Rosie Casals, Billie Jean King"
1971,"Roy Emerson, Rod Laver","Rosie Casals, Billie Jean King"
1972,"Bob Hewitt, Frew McMillan","Billie Jean King, Betty Stove"
1973,"Jimmy Connors, Ilie Nastase","Rosie Casals, Billie Jean King"
1974,"John Newcombe, Tony Roche","Evonne Goolagong, Peggy Michel"
1975,"Vitas Gerulaitis, Alex Mayer","Ann Kiyomura, Kazuko Sawamatsu"
1976,"Brian Gottfried, Raul Ramirez","Chris Evert, Martina Navratilova"
1977,"Goss Case, Geoff Masters","Helen Gourlay Cawley, JoAnne Russell"
1978,"Bob Hewitt, Frew McMillan","Kerry Reid, Wendy Turnbull"
1979,"John McEnroe, Peter Fleming","Billie Jean King, Martina Navratilova"
1980,"Peter McNamara, Paul McNamee","Kathy Jordan, Anne Smith"
1981,"John McEnroe, Peter Fleming","Martina Navratilova, Pam Shriver"
1982,"Peter McNamara, Paul McNamee","Martina Navratilova, Pam Shriver"
1983,"John McEnroe, Peter Fleming","Martina Navratilova, Pam Shriver"
1984,"John McEnroe, Peter Fleming","Martina Navratilova, Pam Shriver"
1985,"Heinz Günthardt, Balazs Taroczy","Kathy Jordan, Elizabeth Smylie"
1986,"Joakim Nyström, Mats Wilander","Martina Navratilova, Pam Shriver"
1987,"Robert Seguso, Ken Flach","Claudia Kohde-Kilsch, Helena Sukova"
1988,"Robert Seguso, Ken Flach","Steffi Graf, Gabriela Sabatini"
1989,"John Fitzgerald, Anders Jarryd","Jana Novotna, Helena Sukova"
1990,"Rick Leach, Jim Pugh","Jana Novotna, Helena Sukova"
1991,"John Fitzgerald, Anders Jarryd","Larisa Savchenko, Natalia Zvereva"
1992,"John McEnroe, Michael Stich","Gigi Fernandez, Natalia Zvereva"
1993,"Todd Woodbridge, Mark Woodforde","Gigi Fernandez, Natalia Zvereva"
1994,"Todd Woodbridge, Mark Woodforde","Gigi Fernandez, Natalia Zvereva"
1995,"Todd Woodbridge, Mark Woodforde","Arantxa Sánchez Vicario, Jana Novotna"
1996,"Todd Woodbridge, Mark Woodforde","Helena Sukova, Martina Hingis"
1997,"Todd Woodbridge, Mark Woodforde","Gigi Fernandez, Natalia Zvereva"
1998,"Jacco Eltingh, Paul Haarhuis","Martina Hingis, Jana Novotna"
1999,"Mahesh Bhupathi, Leander Paes","Lindsay Davenport, Corina Morariu"
2000,"Todd Woodbridge, Mark Woodforde","Serena Williams, Venus Williams"
2001,"Donald Johnson, Jared Palmer","Lisa Raymond, Rennae Stubbs"
2002,"Jonas Björkman, Todd Woodbridge","Serena Williams, Venus Williams"
2003,"Jonas Björkman, Todd Woodbridge","Kim Clijsters, Ai Sugiyama"
2004,"Jonas Björkman, Todd Woodbridge","Cara Black, Rennae Stubbs"
2005,"Stephen Huss, Wesley Moodie","Cara Black, Liezel Huber"
2006,"Bob Bryan, Mike Bryan","Zi Yan, Jie Zheng"
2007,"Arnaud Clément, Michael Llodra","Cara Black, Liezel Huber"
2008,"Daniel Nestor, Nenad Zimonjic","Serena Williams, Venus Williams"
2009,"Daniel Nestor, Nenad Zimonjic","Serena Williams, Venus Williams"
2010,"Jungen Melzer, Phillip Petzschner","Vania King, Yaroslava Shvedova"
2011,"Bob Bryan, Mike Bryan","Kveta Peschke, Katarina Srebotnik"
2012,"Jonathon Marray, Frederik Nielsen","Serena Williams, Venus Williams"
2013,"Bob Bryan, Mike Bryan","Hsieh Su-wei, Peng Shuai"
2014,"Vasek Pospisil, Jack Sock","Sara Errani, Roberta Vinci"
2015,"Jean-Julien Rojer, Horia Tecau","Martina Hingis, Sania Mirza"
2016,"Pierre-Hugues Herbert, Nicolas Mahut","Serena Williams, Venus Williams"
2017,"Lukasz Kubot, Marcelo Melo","Ekaterina Makarova, Elena Vesnina"
2018,"Mike Bryan, Jack Sock","Barbora Krejcikova, Katerina Siniakova"
2019,"Juan Sebastian Cabal, Robert Farah","Hsieh Su-wei, Barbora Strycova"
20203,not held,
2021,"Nikola Mektic, Mate Pavic","Hsieh Su-wei, Elise Mertens"
2022,"Matthew Ebden, Max Purcell","Barbora Krejcikova, Katerina Siniakova"
2023,"Wesley Koolhof, Neal Skupski","Hsieh Su-wei, Barbora Strycova"
1Tournament canceled because of World War I.,,
2Tournament canceled because of World War II.,,
3Tournament canceled because of the coronavirus pandemic.,,